"IndexName","Date","Total Returns Index"
"NIFTY 50","30 Dec 2016","11040.41"
"NIFTY 50","29 Dec 2016","10929.53"
"NIFTY 50","28 Dec 2016","10836.85"
"NIFTY 50","27 Dec 2016","10834.12"
"NIFTY 50","26 Dec 2016","10666.06"
"NIFTY 50","23 Dec 2016","10770.60"
"NIFTY 50","22 Dec 2016","10761.65"
"NIFTY 50","21 Dec 2016","10872.49"
"NIFTY 50","20 Dec 2016","10900.96"
"NIFTY 50","19 Dec 2016","10930.55"
"NIFTY 50","16 Dec 2016","10977.91"
"NIFTY 50","15 Dec 2016","10997.01"
"NIFTY 50","14 Dec 2016","11035.88"
"NIFTY 50","13 Dec 2016","11088.99"
"NIFTY 50","12 Dec 2016","11020.15"
"NIFTY 50","09 Dec 2016","11142.82"
"NIFTY 50","08 Dec 2016","11122.75"
"NIFTY 50","07 Dec 2016","10927.43"
"NIFTY 50","06 Dec 2016","10982.89"
"NIFTY 50","05 Dec 2016","10963.49"
"NIFTY 50","02 Dec 2016","10906.86"
"NIFTY 50","01 Dec 2016","11050.00"
"NIFTY 50","30 Nov 2016","11092.59"
"NIFTY 50","29 Nov 2016","10981.54"
"NIFTY 50","28 Nov 2016","10960.97"
"NIFTY 50","25 Nov 2016","10943.99"
"NIFTY 50","24 Nov 2016","10743.28"
"NIFTY 50","23 Nov 2016","10834.59"
"NIFTY 50","22 Nov 2016","10792.82"
"NIFTY 50","21 Nov 2016","10694.09"
"NIFTY 50","18 Nov 2016","10889.64"
"NIFTY 50","17 Nov 2016","10897.55"
"NIFTY 50","16 Nov 2016","10940.23"
"NIFTY 50","15 Nov 2016","10935.99"
"NIFTY 50","11 Nov 2016","11189.30"
"NIFTY 50","10 Nov 2016","11498.79"
"NIFTY 50","09 Nov 2016","11372.35"
"NIFTY 50","08 Nov 2016","11522.76"
"NIFTY 50","07 Nov 2016","11460.08"
"NIFTY 50","04 Nov 2016","11374.71"
"NIFTY 50","03 Nov 2016","11443.72"
"NIFTY 50","02 Nov 2016","11479.94"
"NIFTY 50","01 Nov 2016","11631.33"
"NIFTY 50","30 Oct 2016","11628.32"
"NIFTY 50","28 Oct 2016","11644.89"
"NIFTY 50","27 Oct 2016","11614.18"
"NIFTY 50","26 Oct 2016","11612.99"
"NIFTY 50","25 Oct 2016","11715.45"
"NIFTY 50","24 Oct 2016","11739.24"
"NIFTY 50","21 Oct 2016","11716.57"
"NIFTY 50","20 Oct 2016","11717.04"
"NIFTY 50","19 Oct 2016","11662.81"
"NIFTY 50","18 Oct 2016","11688.13"
"NIFTY 50","17 Oct 2016","11475.97"
"NIFTY 50","14 Oct 2016","11560.81"
"NIFTY 50","13 Oct 2016","11547.30"
"NIFTY 50","10 Oct 2016","11729.75"
"NIFTY 50","07 Oct 2016","11714.65"
"NIFTY 50","06 Oct 2016","11730.75"
"NIFTY 50","05 Oct 2016","11777.10"
"NIFTY 50","04 Oct 2016","11811.04"
"NIFTY 50","03 Oct 2016","11769.16"
"NIFTY 50","30 Sep 2016","11598.22"
"NIFTY 50","29 Sep 2016","11571.40"
"NIFTY 50","28 Sep 2016","11778.71"
"NIFTY 50","27 Sep 2016","11726.49"
"NIFTY 50","26 Sep 2016","11748.91"
"NIFTY 50","23 Sep 2016","11895.07"
"NIFTY 50","22 Sep 2016","11943.44"
"NIFTY 50","21 Sep 2016","11821.52"
"NIFTY 50","20 Sep 2016","11819.83"
"NIFTY 50","19 Sep 2016","11863.61"
"NIFTY 50","16 Sep 2016","11825.12"
"NIFTY 50","15 Sep 2016","11774.90"
"NIFTY 50","14 Sep 2016","11751.93"
"NIFTY 50","12 Sep 2016","11737.00"
"NIFTY 50","09 Sep 2016","11940.12"
"NIFTY 50","08 Sep 2016","12055.60"
"NIFTY 50","07 Sep 2016","12005.43"
"NIFTY 50","06 Sep 2016","12037.72"
"NIFTY 50","02 Sep 2016","11857.76"
"NIFTY 50","01 Sep 2016","11810.69"
"NIFTY 50","31 Aug 2016","11826.19"
"NIFTY 50","30 Aug 2016","11766.04"
"NIFTY 50","29 Aug 2016","11581.83"
"NIFTY 50","26 Aug 2016","11534.92"
"NIFTY 50","25 Aug 2016","11561.34"
"NIFTY 50","24 Aug 2016","11639.48"
"NIFTY 50","23 Aug 2016","11615.70"
"NIFTY 50","22 Aug 2016","11611.02"
"NIFTY 50","19 Aug 2016","11661.82"
"NIFTY 50","18 Aug 2016","11670.37"
"NIFTY 50","17 Aug 2016","11598.72"
"NIFTY 50","16 Aug 2016","11623.61"
"NIFTY 50","12 Aug 2016","11663.43"
"NIFTY 50","11 Aug 2016","11555.84"
"NIFTY 50","10 Aug 2016","11532.49"
"NIFTY 50","09 Aug 2016","11669.70"
"NIFTY 50","08 Aug 2016","11713.58"
"NIFTY 50","05 Aug 2016","11675.68"
"NIFTY 50","04 Aug 2016","11498.13"
"NIFTY 50","03 Aug 2016","11489.74"
"NIFTY 50","02 Aug 2016","11594.65"
"NIFTY 50","01 Aug 2016","11612.19"
"NIFTY 50","29 Jul 2016","11614.80"
"NIFTY 50","28 Jul 2016","11652.18"
"NIFTY 50","27 Jul 2016","11579.64"
"NIFTY 50","26 Jul 2016","11545.78"
"NIFTY 50","25 Jul 2016","11606.29"
"NIFTY 50","22 Jul 2016","11477.47"
"NIFTY 50","21 Jul 2016","11435.64"
"NIFTY 50","20 Jul 2016","11508.07"
"NIFTY 50","19 Jul 2016","11457.95"
"NIFTY 50","18 Jul 2016","11431.25"
"NIFTY 50","15 Jul 2016","11474.04"
"NIFTY 50","14 Jul 2016","11497.65"
"NIFTY 50","13 Jul 2016","11436.09"
"NIFTY 50","12 Jul 2016","11438.19"
"NIFTY 50","11 Jul 2016","11366.82"
"NIFTY 50","08 Jul 2016","11172.39"
"NIFTY 50","07 Jul 2016","11192.11"
"NIFTY 50","05 Jul 2016","11186.41"
"NIFTY 50","04 Jul 2016","11233.09"
"NIFTY 50","01 Jul 2016","11175.85"
"NIFTY 50","30 Jun 2016","11121.39"
"NIFTY 50","29 Jun 2016","11009.02"
"NIFTY 50","28 Jun 2016","10899.91"
"NIFTY 50","27 Jun 2016","10855.50"
"NIFTY 50","24 Jun 2016","10847.29"
"NIFTY 50","23 Jun 2016","11091.16"
"NIFTY 50","22 Jun 2016","11000.82"
"NIFTY 50","21 Jun 2016","11020.11"
"NIFTY 50","20 Jun 2016","11045.03"
"NIFTY 50","17 Jun 2016","10953.44"
"NIFTY 50","16 Jun 2016","10913.97"
"NIFTY 50","15 Jun 2016","10990.64"
"NIFTY 50","14 Jun 2016","10859.76"
"NIFTY 50","13 Jun 2016","10862.06"
"NIFTY 50","10 Jun 2016","10941.70"
"NIFTY 50","09 Jun 2016","10986.64"
"NIFTY 50","08 Jun 2016","11068.75"
"NIFTY 50","07 Jun 2016","11059.93"
"NIFTY 50","06 Jun 2016","10972.45"
"NIFTY 50","03 Jun 2016","10992.21"
"NIFTY 50","02 Jun 2016","10986.77"
"NIFTY 50","01 Jun 2016","10934.62"
"NIFTY 50","31 May 2016","10908.07"
"NIFTY 50","30 May 2016","10932.70"
"NIFTY 50","27 May 2016","10884.88"
"NIFTY 50","26 May 2016","10768.78"
"NIFTY 50","25 May 2016","10588.92"
"NIFTY 50","24 May 2016","10340.65"
"NIFTY 50","23 May 2016","10316.91"
"NIFTY 50","20 May 2016","10341.79"
"NIFTY 50","19 May 2016","10386.75"
"NIFTY 50","18 May 2016","10502.51"
"NIFTY 50","17 May 2016","10530.03"
"NIFTY 50","16 May 2016","10489.97"
"NIFTY 50","13 May 2016","10428.78"
"NIFTY 50","12 May 2016","10542.93"
"NIFTY 50","11 May 2016","10474.10"
"NIFTY 50","10 May 2016","10526.11"
"NIFTY 50","09 May 2016","10497.09"
"NIFTY 50","06 May 2016","10320.12"
"NIFTY 50","05 May 2016","10322.82"
"NIFTY 50","04 May 2016","10283.01"
"NIFTY 50","03 May 2016","10336.97"
"NIFTY 50","02 May 2016","10415.52"
"NIFTY 50","29 Apr 2016","10474.15"
"NIFTY 50","28 Apr 2016","10470.71"
"NIFTY 50","27 Apr 2016","10647.74"
"NIFTY 50","26 Apr 2016","10624.72"
"NIFTY 50","25 Apr 2016","10481.12"
"NIFTY 50","22 Apr 2016","10540.19"
"NIFTY 50","21 Apr 2016","10557.22"
"NIFTY 50","20 Apr 2016","10560.79"
"NIFTY 50","18 Apr 2016","10560.74"
"NIFTY 50","13 Apr 2016","10475.02"
"NIFTY 50","12 Apr 2016","10286.18"
"NIFTY 50","11 Apr 2016","10236.11"
"NIFTY 50","08 Apr 2016","10081.01"
"NIFTY 50","07 Apr 2016","10069.36"
"NIFTY 50","06 Apr 2016","10159.98"
"NIFTY 50","05 Apr 2016","10145.10"
"NIFTY 50","04 Apr 2016","10352.69"
"NIFTY 50","01 Apr 2016","10291.69"
"NIFTY 50","31 Mar 2016","10325.50"
"NIFTY 50","30 Mar 2016","10321.20"
"NIFTY 50","29 Mar 2016","10135.49"
"NIFTY 50","28 Mar 2016","10159.66"
"NIFTY 50","23 Mar 2016","10294.93"
"NIFTY 50","22 Mar 2016","10292.77"
"NIFTY 50","21 Mar 2016","10278.30"
"NIFTY 50","18 Mar 2016","10143.60"
"NIFTY 50","17 Mar 2016","10021.13"
"NIFTY 50","16 Mar 2016","9997.90"
"NIFTY 50","15 Mar 2016","9944.76"
"NIFTY 50","14 Mar 2016","10048.89"
"NIFTY 50","11 Mar 2016","10001.18"
"NIFTY 50","10 Mar 2016","9969.15"
"NIFTY 50","09 Mar 2016","10029.96"
"NIFTY 50","08 Mar 2016","9967.99"
"NIFTY 50","04 Mar 2016","9968.09"
"NIFTY 50","03 Mar 2016","9955.10"
"NIFTY 50","02 Mar 2016","9812.68"
"NIFTY 50","01 Mar 2016","9617.51"
"NIFTY 50","29 Feb 2016","9304.26"
"NIFTY 50","26 Feb 2016","9361.10"
"NIFTY 50","25 Feb 2016","9282.38"
"NIFTY 50","24 Feb 2016","9346.39"
"NIFTY 50","23 Feb 2016","9467.41"
"NIFTY 50","22 Feb 2016","9633.83"
"NIFTY 50","19 Feb 2016","9601.77"
"NIFTY 50","18 Feb 2016","9576.46"
"NIFTY 50","17 Feb 2016","9465.52"
"NIFTY 50","16 Feb 2016","9385.36"
"NIFTY 50","15 Feb 2016","9537.74"
"NIFTY 50","12 Feb 2016","9295.41"
"NIFTY 50","11 Feb 2016","9289.29"
"NIFTY 50","10 Feb 2016","9607.98"
"NIFTY 50","09 Feb 2016","9717.87"
"NIFTY 50","08 Feb 2016","9836.41"
"NIFTY 50","05 Feb 2016","9972.05"
"NIFTY 50","04 Feb 2016","9857.82"
"NIFTY 50","03 Feb 2016","9801.62"
"NIFTY 50","02 Feb 2016","9925.98"
"NIFTY 50","01 Feb 2016","10058.69"
