"IndexName","Date","Total Returns Index"
"NIFTY 50","31 Dec 2019","17077.06"
"NIFTY 50","30 Dec 2019","17199.73"
"NIFTY 50","27 Dec 2019","17185.66"
"NIFTY 50","26 Dec 2019","17018.26"
"NIFTY 50","24 Dec 2019","17141.80"
"NIFTY 50","23 Dec 2019","17209.40"
"NIFTY 50","20 Dec 2019","17222.14"
"NIFTY 50","19 Dec 2019","17205.12"
"NIFTY 50","18 Dec 2019","17150.93"
"NIFTY 50","17 Dec 2019","17071.49"
"NIFTY 50","16 Dec 2019","16915.65"
"NIFTY 50","13 Dec 2019","16961.56"
"NIFTY 50","12 Dec 2019","16800.36"
"NIFTY 50","11 Dec 2019","16713.79"
"NIFTY 50","10 Dec 2019","16638.94"
"NIFTY 50","09 Dec 2019","16751.53"
"NIFTY 50","06 Dec 2019","16729.08"
"NIFTY 50","05 Dec 2019","16865.04"
"NIFTY 50","04 Dec 2019","16899.88"
"NIFTY 50","03 Dec 2019","16831.11"
"NIFTY 50","02 Dec 2019","16906.88"
"NIFTY 50","29 Nov 2019","16917.89"
"NIFTY 50","28 Nov 2019","17051.31"
"NIFTY 50","27 Nov 2019","16980.54"
"NIFTY 50","26 Nov 2019","16892.15"
"NIFTY 50","25 Nov 2019","16942.70"
"NIFTY 50","22 Nov 2019","16719.11"
"NIFTY 50","21 Nov 2019","16794.86"
"NIFTY 50","20 Nov 2019","16837.96"
"NIFTY 50","19 Nov 2019","16755.15"
"NIFTY 50","18 Nov 2019","16677.14"
"NIFTY 50","15 Nov 2019","16692.52"
"NIFTY 50","14 Nov 2019","16659.78"
"NIFTY 50","13 Nov 2019","16615.37"
"NIFTY 50","11 Nov 2019","16717.75"
"NIFTY 50","08 Nov 2019","16710.37"
"NIFTY 50","07 Nov 2019","16856.17"
"NIFTY 50","06 Nov 2019","16791.61"
"NIFTY 50","05 Nov 2019","16723.06"
"NIFTY 50","04 Nov 2019","16756.87"
"NIFTY 50","01 Nov 2019","16685.73"
"NIFTY 50","31 Oct 2019","16667.29"
"NIFTY 50","30 Oct 2019","16620.07"
"NIFTY 50","29 Oct 2019","16539.23"
"NIFTY 50","27 Oct 2019","16315.17"
"NIFTY 50","25 Oct 2019","16254.45"
"NIFTY 50","24 Oct 2019","16252.63"
"NIFTY 50","23 Oct 2019","16282.84"
"NIFTY 50","22 Oct 2019","16248.11"
"NIFTY 50","18 Oct 2019","16351.16"
"NIFTY 50","17 Oct 2019","16245.31"
"NIFTY 50","16 Oct 2019","16057.85"
"NIFTY 50","15 Oct 2019","16007.83"
"NIFTY 50","14 Oct 2019","15885.74"
"NIFTY 50","11 Oct 2019","15835.17"
"NIFTY 50","10 Oct 2019","15736.44"
"NIFTY 50","09 Oct 2019","15846.77"
"NIFTY 50","07 Oct 2019","15584.94"
"NIFTY 50","04 Oct 2019","15652.70"
"NIFTY 50","03 Oct 2019","15847.70"
"NIFTY 50","01 Oct 2019","15912.03"
"NIFTY 50","30 Sep 2019","16072.50"
"NIFTY 50","27 Sep 2019","16125.65"
"NIFTY 50","26 Sep 2019","16207.96"
"NIFTY 50","25 Sep 2019","16024.49"
"NIFTY 50","24 Sep 2019","16231.83"
"NIFTY 50","23 Sep 2019","16248.62"
"NIFTY 50","20 Sep 2019","15791.99"
"NIFTY 50","19 Sep 2019","14994.39"
"NIFTY 50","18 Sep 2019","15184.69"
"NIFTY 50","17 Sep 2019","15152.39"
"NIFTY 50","16 Sep 2019","15412.83"
"NIFTY 50","13 Sep 2019","15514.20"
"NIFTY 50","12 Sep 2019","15383.82"
"NIFTY 50","11 Sep 2019","15457.90"
"NIFTY 50","09 Sep 2019","15412.14"
"NIFTY 50","06 Sep 2019","15332.57"
"NIFTY 50","05 Sep 2019","15194.86"
"NIFTY 50","04 Sep 2019","15190.30"
"NIFTY 50","03 Sep 2019","15124.80"
"NIFTY 50","30 Aug 2019","15440.47"
"NIFTY 50","29 Aug 2019","15335.45"
"NIFTY 50","28 Aug 2019","15472.44"
"NIFTY 50","27 Aug 2019","15555.44"
"NIFTY 50","26 Aug 2019","15488.96"
"NIFTY 50","23 Aug 2019","15168.88"
"NIFTY 50","22 Aug 2019","15045.62"
"NIFTY 50","21 Aug 2019","15290.85"
"NIFTY 50","20 Aug 2019","15425.45"
"NIFTY 50","19 Aug 2019","15476.07"
"NIFTY 50","16 Aug 2019","15464.58"
"NIFTY 50","14 Aug 2019","15438.86"
"NIFTY 50","13 Aug 2019","15289.35"
"NIFTY 50","09 Aug 2019","15542.72"
"NIFTY 50","08 Aug 2019","15434.73"
"NIFTY 50","07 Aug 2019","15184.34"
"NIFTY 50","06 Aug 2019","15314.03"
"NIFTY 50","05 Aug 2019","15194.27"
"NIFTY 50","02 Aug 2019","15382.73"
"NIFTY 50","01 Aug 2019","15350.83"
"NIFTY 50","31 Jul 2019","15539.43"
"NIFTY 50","30 Jul 2019","15493.33"
"NIFTY 50","29 Jul 2019","15638.42"
"NIFTY 50","26 Jul 2019","15770.63"
"NIFTY 50","25 Jul 2019","15725.60"
