"IndexName","Date","Total Returns Index"
"NIFTY 50","31 Dec 2018","15048.98"
"NIFTY 50","28 Dec 2018","15045.34"
"NIFTY 50","27 Dec 2018","14930.18"
"NIFTY 50","26 Dec 2018","14860.97"
"NIFTY 50","24 Dec 2018","14769.13"
"NIFTY 50","21 Dec 2018","14894.42"
"NIFTY 50","20 Dec 2018","15163.14"
"NIFTY 50","19 Dec 2018","15184.78"
"NIFTY 50","18 Dec 2018","15103.63"
"NIFTY 50","17 Dec 2018","15075.46"
"NIFTY 50","14 Dec 2018","14960.64"
"NIFTY 50","13 Dec 2018","14941.40"
"NIFTY 50","12 Dec 2018","14866.71"
"NIFTY 50","11 Dec 2018","14605.79"
"NIFTY 50","10 Dec 2018","14521.73"
"NIFTY 50","07 Dec 2018","14805.93"
"NIFTY 50","06 Dec 2018","14677.79"
"NIFTY 50","05 Dec 2018","14929.43"
"NIFTY 50","04 Dec 2018","15049.32"
"NIFTY 50","03 Dec 2018","15069.07"
"NIFTY 50","30 Nov 2018","15059.37"
"NIFTY 50","29 Nov 2018","15034.36"
"NIFTY 50","28 Nov 2018","14854.61"
"NIFTY 50","27 Nov 2018","14794.70"
"NIFTY 50","26 Nov 2018","14715.81"
"NIFTY 50","22 Nov 2018","14574.82"
"NIFTY 50","21 Nov 2018","14676.29"
"NIFTY 50","20 Nov 2018","14754.03"
"NIFTY 50","19 Nov 2018","14902.44"
"NIFTY 50","16 Nov 2018","14790.05"
"NIFTY 50","15 Nov 2018","14699.33"
"NIFTY 50","14 Nov 2018","14643.42"
"NIFTY 50","13 Nov 2018","14651.98"
"NIFTY 50","12 Nov 2018","14513.12"
"NIFTY 50","09 Nov 2018","14655.69"
"NIFTY 50","07 Nov 2018","14673.98"
"NIFTY 50","06 Nov 2018","14579.28"
"NIFTY 50","05 Nov 2018","14570.98"
"NIFTY 50","02 Nov 2018","14609.96"
"NIFTY 50","01 Nov 2018","14371.10"
"NIFTY 50","31 Oct 2018","14377.38"
"NIFTY 50","30 Oct 2018","14116.91"
"NIFTY 50","29 Oct 2018","14189.11"
"NIFTY 50","26 Oct 2018","13882.95"
"NIFTY 50","25 Oct 2018","14014.33"
"NIFTY 50","24 Oct 2018","14139.75"
"NIFTY 50","23 Oct 2018","14031.96"
"NIFTY 50","22 Oct 2018","14166.64"
"NIFTY 50","19 Oct 2018","14247.22"
"NIFTY 50","17 Oct 2018","14453.94"
"NIFTY 50","16 Oct 2018","14636.10"
"NIFTY 50","15 Oct 2018","14536.17"
"NIFTY 50","12 Oct 2018","14480.86"
"NIFTY 50","11 Oct 2018","14152.00"
"NIFTY 50","10 Oct 2018","14463.71"
"NIFTY 50","09 Oct 2018","14243.79"
"NIFTY 50","08 Oct 2018","14308.79"
"NIFTY 50","05 Oct 2018","14265.08"
"NIFTY 50","04 Oct 2018","14656.09"
"NIFTY 50","03 Oct 2018","15014.23"
"NIFTY 50","01 Oct 2018","15221.75"
"NIFTY 50","28 Sep 2018","15114.08"
"NIFTY 50","27 Sep 2018","15179.24"
"NIFTY 50","26 Sep 2018","15284.67"
"NIFTY 50","25 Sep 2018","15303.55"
"NIFTY 50","24 Sep 2018","15165.18"
"NIFTY 50","21 Sep 2018","15408.16"
"NIFTY 50","19 Sep 2018","15534.28"
"NIFTY 50","18 Sep 2018","15594.57"
"NIFTY 50","17 Sep 2018","15731.26"
"NIFTY 50","14 Sep 2018","15920.48"
"NIFTY 50","12 Sep 2018","15719.62"
"NIFTY 50","11 Sep 2018","15605.11"
"NIFTY 50","10 Sep 2018","15813.26"
"NIFTY 50","07 Sep 2018","16019.84"
"NIFTY 50","06 Sep 2018","15947.67"
"NIFTY 50","05 Sep 2018","15862.15"
"NIFTY 50","04 Sep 2018","15922.09"
"NIFTY 50","03 Sep 2018","16007.84"
"NIFTY 50","31 Aug 2018","16143.51"
"NIFTY 50","30 Aug 2018","16135.61"
"NIFTY 50","29 Aug 2018","16156.02"
"NIFTY 50","28 Aug 2018","16220.45"
"NIFTY 50","27 Aug 2018","16156.09"
"NIFTY 50","24 Aug 2018","15969.80"
"NIFTY 50","23 Aug 2018","16001.85"
"NIFTY 50","21 Aug 2018","15985.48"
"NIFTY 50","20 Aug 2018","15959.04"
"NIFTY 50","17 Aug 2018","15845.64"
"NIFTY 50","16 Aug 2018","15727.25"
"NIFTY 50","14 Aug 2018","15796.36"
"NIFTY 50","13 Aug 2018","15676.23"
"NIFTY 50","10 Aug 2018","15776.32"
"NIFTY 50","09 Aug 2018","15833.23"
"NIFTY 50","08 Aug 2018","15803.64"
"NIFTY 50","07 Aug 2018","15720.05"
"NIFTY 50","06 Aug 2018","15716.78"
"NIFTY 50","03 Aug 2018","15680.51"
"NIFTY 50","02 Aug 2018","15520.25"
"NIFTY 50","01 Aug 2018","15658.27"
"NIFTY 50","31 Jul 2018","15672.47"
"NIFTY 50","30 Jul 2018","15621.47"
"NIFTY 50","27 Jul 2018","15564.19"
"NIFTY 50","26 Jul 2018","15410.93"
"NIFTY 50","25 Jul 2018","15358.72"
"NIFTY 50","24 Jul 2018","15361.88"
"NIFTY 50","23 Jul 2018","15293.50"
"NIFTY 50","20 Jul 2018","15190.13"
"NIFTY 50","19 Jul 2018","15116.83"
"NIFTY 50","18 Jul 2018","15135.57"
"NIFTY 50","17 Jul 2018","15172.31"
"NIFTY 50","16 Jul 2018","15072.66"
"NIFTY 50","13 Jul 2018","15184.88"
"NIFTY 50","12 Jul 2018","15190.82"
"NIFTY 50","11 Jul 2018","15085.15"
"NIFTY 50","10 Jul 2018","15081.60"
"NIFTY 50","09 Jul 2018","14951.20"
"NIFTY 50","06 Jul 2018","14840.13"
"NIFTY 50","05 Jul 2018","14808.54"
"NIFTY 50","04 Jul 2018","14830.50"
"NIFTY 50","03 Jul 2018","14734.11"
"NIFTY 50","02 Jul 2018","14675.42"
"NIFTY 50","29 Jun 2018","14753.91"
"NIFTY 50","28 Jun 2018","14581.53"
"NIFTY 50","27 Jun 2018","14694.16"
"NIFTY 50","26 Jun 2018","14821.45"
"NIFTY 50","25 Jun 2018","14812.28"
"NIFTY 50","22 Jun 2018","14894.02"
"NIFTY 50","21 Jun 2018","14782.87"
"NIFTY 50","20 Jun 2018","14822.46"
"NIFTY 50","19 Jun 2018","14737.70"
"NIFTY 50","18 Jun 2018","14860.73"
"NIFTY 50","15 Jun 2018","14885.30"
"NIFTY 50","14 Jun 2018","14871.97"
"NIFTY 50","13 Jun 2018","14917.68"
"NIFTY 50","12 Jun 2018","14898.66"
"NIFTY 50","11 Jun 2018","14821.80"
"NIFTY 50","08 Jun 2018","14795.31"
"NIFTY 50","07 Jun 2018","14796.24"
"NIFTY 50","06 Jun 2018","14681.25"
"NIFTY 50","05 Jun 2018","14555.52"
"NIFTY 50","04 Jun 2018","14604.11"
"NIFTY 50","01 Jun 2018","14695.40"
"NIFTY 50","31 May 2018","14750.26"
"NIFTY 50","30 May 2018","14568.75"
"NIFTY 50","29 May 2018","14594.78"
"NIFTY 50","28 May 2018","14670.76"
"NIFTY 50","25 May 2018","14556.18"
"NIFTY 50","24 May 2018","14415.65"
"NIFTY 50","23 May 2018","14301.15"
"NIFTY 50","22 May 2018","14446.97"
"NIFTY 50","21 May 2018","14419.57"
"NIFTY 50","18 May 2018","14528.82"
"NIFTY 50","17 May 2018","14647.15"
"NIFTY 50","16 May 2018","14727.26"
"NIFTY 50","15 May 2018","14810.54"
"NIFTY 50","14 May 2018","14817.01"
"NIFTY 50","11 May 2018","14816.93"
"NIFTY 50","10 May 2018","14693.55"
"NIFTY 50","09 May 2018","14728.03"
"NIFTY 50","08 May 2018","14694.93"
"NIFTY 50","07 May 2018","14691.72"
"NIFTY 50","04 May 2018","14558.42"
"NIFTY 50","03 May 2018","14642.62"
"NIFTY 50","02 May 2018","14695.26"
"NIFTY 50","30 Apr 2018","14723.32"
"NIFTY 50","27 Apr 2018","14658.83"
"NIFTY 50","26 Apr 2018","14556.65"
"NIFTY 50","25 Apr 2018","14491.88"
"NIFTY 50","24 Apr 2018","14551.96"
"NIFTY 50","23 Apr 2018","14511.28"
"NIFTY 50","20 Apr 2018","14482.97"
"NIFTY 50","19 Apr 2018","14484.70"
"NIFTY 50","18 Apr 2018","14431.07"
"NIFTY 50","17 Apr 2018","14461.97"
"NIFTY 50","16 Apr 2018","14434.05"
"NIFTY 50","13 Apr 2018","14368.56"
"NIFTY 50","12 Apr 2018","14338.46"
"NIFTY 50","11 Apr 2018","14281.60"
"NIFTY 50","10 Apr 2018","14261.15"
"NIFTY 50","09 Apr 2018","14229.77"
"NIFTY 50","06 Apr 2018","14164.28"
"NIFTY 50","05 Apr 2018","14155.47"
"NIFTY 50","04 Apr 2018","13885.72"
"NIFTY 50","03 Apr 2018","14045.55"
"NIFTY 50","02 Apr 2018","14000.07"
"NIFTY 50","28 Mar 2018","13865.57"
"NIFTY 50","27 Mar 2018","13962.15"
