"IndexName","Date","Total Returns Index"
"NIFTY 50","30 Sep 2025","36992.70"
"NIFTY 50","29 Sep 2025","37028.48"
"NIFTY 50","26 Sep 2025","37058.30"
"NIFTY 50","25 Sep 2025","37413.25"
"NIFTY 50","24 Sep 2025","37662.84"
"NIFTY 50","23 Sep 2025","37832.09"
"NIFTY 50","22 Sep 2025","37881.41"
"NIFTY 50","19 Sep 2025","38068.84"
"NIFTY 50","18 Sep 2025","38213.97"
"NIFTY 50","17 Sep 2025","38073.65"
"NIFTY 50","16 Sep 2025","37936.66"
"NIFTY 50","15 Sep 2025","37681.33"
"NIFTY 50","12 Sep 2025","37748.61"
"NIFTY 50","11 Sep 2025","37585.52"
"NIFTY 50","10 Sep 2025","37536.88"
"NIFTY 50","09 Sep 2025","37379.78"
"NIFTY 50","08 Sep 2025","37236.28"
"NIFTY 50","05 Sep 2025","37188.02"
"NIFTY 50","04 Sep 2025","37177.94"
"NIFTY 50","03 Sep 2025","37142.11"
"NIFTY 50","02 Sep 2025","36938.57"
"NIFTY 50","01 Sep 2025","37006.87"
"NIFTY 50","29 Aug 2025","36709.00"
"NIFTY 50","28 Aug 2025","36820.25"
"NIFTY 50","26 Aug 2025","37137.57"
"NIFTY 50","25 Aug 2025","37521.90"
"NIFTY 50","22 Aug 2025","37375.09"
"NIFTY 50","21 Aug 2025","37696.23"
"NIFTY 50","20 Aug 2025","37642.41"
"NIFTY 50","19 Aug 2025","37537.42"
"NIFTY 50","18 Aug 2025","37379.38"
"NIFTY 50","14 Aug 2025","37010.27"
"NIFTY 50","13 Aug 2025","36978.89"
"NIFTY 50","12 Aug 2025","36780.73"
"NIFTY 50","11 Aug 2025","36900.03"
"NIFTY 50","08 Aug 2025","36566.63"
"NIFTY 50","07 Aug 2025","36913.76"
"NIFTY 50","06 Aug 2025","36880.81"
"NIFTY 50","05 Aug 2025","36989.75"
"NIFTY 50","04 Aug 2025","37099.55"
"NIFTY 50","01 Aug 2025","36863.40"
"NIFTY 50","31 Jul 2025","37158.88"
"NIFTY 50","30 Jul 2025","37288.94"
"NIFTY 50","29 Jul 2025","37238.03"
"NIFTY 50","28 Jul 2025","37027.65"
