"IndexName","Date","Total Returns Index"
"NIFTY 50","31 Dec 2020","19833.19"
"NIFTY 50","30 Dec 2020","19833.53"
"NIFTY 50","29 Dec 2020","19763.51"
"NIFTY 50","28 Dec 2020","19679.24"
"NIFTY 50","24 Dec 2020","19503.40"
"NIFTY 50","23 Dec 2020","19293.26"
"NIFTY 50","22 Dec 2020","19102.06"
"NIFTY 50","21 Dec 2020","18906.45"
"NIFTY 50","18 Dec 2020","19519.42"
"NIFTY 50","17 Dec 2020","19491.30"
"NIFTY 50","16 Dec 2020","19404.80"
"NIFTY 50","15 Dec 2020","19241.90"
"NIFTY 50","14 Dec 2020","19228.16"
"NIFTY 50","11 Dec 2020","19165.33"
"NIFTY 50","10 Dec 2020","19114.96"
"NIFTY 50","09 Dec 2020","19186.95"
"NIFTY 50","08 Dec 2020","18993.86"
"NIFTY 50","07 Dec 2020","18941.15"
"NIFTY 50","04 Dec 2020","18803.27"
"NIFTY 50","03 Dec 2020","18626.53"
"NIFTY 50","02 Dec 2020","18597.90"
"NIFTY 50","01 Dec 2020","18591.25"
"NIFTY 50","27 Nov 2020","18392.54"
"NIFTY 50","26 Nov 2020","18418.16"
"NIFTY 50","25 Nov 2020","18235.76"
"NIFTY 50","24 Nov 2020","18514.82"
"NIFTY 50","23 Nov 2020","18332.33"
"NIFTY 50","20 Nov 2020","18236.68"
"NIFTY 50","19 Nov 2020","18112.83"
"NIFTY 50","18 Nov 2020","18349.02"
"NIFTY 50","17 Nov 2020","18258.23"
"NIFTY 50","14 Nov 2020","18124.93"
"NIFTY 50","13 Nov 2020","18039.44"
"NIFTY 50","12 Nov 2020","17998.11"
"NIFTY 50","11 Nov 2020","18080.84"
"NIFTY 50","10 Nov 2020","17913.40"
"NIFTY 50","09 Nov 2020","17672.25"
"NIFTY 50","06 Nov 2020","17392.14"
"NIFTY 50","05 Nov 2020","17189.03"
"NIFTY 50","04 Nov 2020","16888.65"
"NIFTY 50","03 Nov 2020","16746.75"
"NIFTY 50","02 Nov 2020","16542.08"
"NIFTY 50","30 Oct 2020","16504.16"
"NIFTY 50","29 Oct 2020","16544.45"
"NIFTY 50","28 Oct 2020","16623.13"
"NIFTY 50","27 Oct 2020","16844.96"
"NIFTY 50","26 Oct 2020","16672.62"
"NIFTY 50","23 Oct 2020","16902.96"
"NIFTY 50","22 Oct 2020","16840.52"
"NIFTY 50","21 Oct 2020","16897.43"
"NIFTY 50","20 Oct 2020","16839.60"
"NIFTY 50","19 Oct 2020","16805.97"
"NIFTY 50","16 Oct 2020","16649.46"
"NIFTY 50","15 Oct 2020","16533.24"
"NIFTY 50","14 Oct 2020","16944.73"
"NIFTY 50","13 Oct 2020","16888.87"
"NIFTY 50","12 Oct 2020","16883.84"
"NIFTY 50","09 Oct 2020","16860.11"
"NIFTY 50","08 Oct 2020","16747.48"
"NIFTY 50","07 Oct 2020","16611.96"
"NIFTY 50","06 Oct 2020","16503.77"
"NIFTY 50","05 Oct 2020","16278.72"
"NIFTY 50","01 Oct 2020","16156.44"
"NIFTY 50","30 Sep 2020","15916.72"
"NIFTY 50","29 Sep 2020","15881.16"
"NIFTY 50","28 Sep 2020","15888.44"
"NIFTY 50","25 Sep 2020","15637.53"
"NIFTY 50","24 Sep 2020","15291.25"
"NIFTY 50","23 Sep 2020","15752.97"
"NIFTY 50","22 Sep 2020","15783.87"
"NIFTY 50","21 Sep 2020","15920.99"
"NIFTY 50","18 Sep 2020","16281.00"
"NIFTY 50","17 Sep 2020","16296.78"
"NIFTY 50","16 Sep 2020","16421.95"
"NIFTY 50","15 Sep 2020","16304.84"
"NIFTY 50","14 Sep 2020","16189.14"
"NIFTY 50","11 Sep 2020","16222.92"
"NIFTY 50","10 Sep 2020","16201.44"
"NIFTY 50","09 Sep 2020","15958.99"
"NIFTY 50","08 Sep 2020","16014.67"
"NIFTY 50","07 Sep 2020","16068.06"
"NIFTY 50","04 Sep 2020","16038.07"
"NIFTY 50","03 Sep 2020","16311.99"
"NIFTY 50","02 Sep 2020","16322.17"
