"IndexName","Date","Total Returns Index"
"NIFTY 50","29 Dec 2017","14381.92"
"NIFTY 50","28 Dec 2017","14309.85"
"NIFTY 50","27 Dec 2017","14327.42"
"NIFTY 50","26 Dec 2017","14383.04"
"NIFTY 50","22 Dec 2017","14330.49"
"NIFTY 50","21 Dec 2017","14258.49"
"NIFTY 50","20 Dec 2017","14263.81"
"NIFTY 50","19 Dec 2017","14289.76"
"NIFTY 50","18 Dec 2017","14188.11"
"NIFTY 50","15 Dec 2017","14112.30"
"NIFTY 50","14 Dec 2017","14001.49"
"NIFTY 50","13 Dec 2017","13920.69"
"NIFTY 50","12 Dec 2017","13985.11"
"NIFTY 50","11 Dec 2017","14097.29"
"NIFTY 50","08 Dec 2017","14019.95"
"NIFTY 50","07 Dec 2017","13884.82"
"NIFTY 50","06 Dec 2017","13717.36"
"NIFTY 50","05 Dec 2017","13818.67"
"NIFTY 50","04 Dec 2017","13831.66"
"NIFTY 50","01 Dec 2017","13823.52"
"NIFTY 50","30 Nov 2017","13966.58"
"NIFTY 50","29 Nov 2017","14150.60"
"NIFTY 50","28 Nov 2017","14162.79"
"NIFTY 50","27 Nov 2017","14202.82"
"NIFTY 50","24 Nov 2017","14189.41"
"NIFTY 50","23 Nov 2017","14133.47"
"NIFTY 50","22 Nov 2017","14124.68"
"NIFTY 50","21 Nov 2017","14103.64"
"NIFTY 50","20 Nov 2017","14065.05"
"NIFTY 50","17 Nov 2017","14044.32"
"NIFTY 50","16 Nov 2017","13950.33"
"NIFTY 50","15 Nov 2017","13818.25"
"NIFTY 50","14 Nov 2017","13911.87"
"NIFTY 50","13 Nov 2017","13964.26"
"NIFTY 50","10 Nov 2017","14096.45"
"NIFTY 50","09 Nov 2017","14078.98"
"NIFTY 50","08 Nov 2017","14071.02"
"NIFTY 50","07 Nov 2017","14135.23"
"NIFTY 50","06 Nov 2017","14274.03"
"NIFTY 50","03 Nov 2017","14274.97"
"NIFTY 50","02 Nov 2017","14232.79"
"NIFTY 50","01 Nov 2017","14255.58"
"NIFTY 50","31 Oct 2017","14108.55"
"NIFTY 50","30 Oct 2017","14137.62"
"NIFTY 50","27 Oct 2017","14082.21"
"NIFTY 50","26 Oct 2017","14110.50"
"NIFTY 50","25 Oct 2017","14044.44"
"NIFTY 50","24 Oct 2017","13923.61"
"NIFTY 50","23 Oct 2017","13892.48"
"NIFTY 50","19 Oct 2017","13840.24"
"NIFTY 50","18 Oct 2017","13927.92"
"NIFTY 50","17 Oct 2017","13960.09"
"NIFTY 50","16 Oct 2017","13955.22"
"NIFTY 50","13 Oct 2017","13868.70"
"NIFTY 50","12 Oct 2017","13771.84"
"NIFTY 50","11 Oct 2017","13619.62"
"NIFTY 50","10 Oct 2017","13663.44"
"NIFTY 50","09 Oct 2017","13625.00"
"NIFTY 50","06 Oct 2017","13612.63"
"NIFTY 50","05 Oct 2017","13488.48"
"NIFTY 50","04 Oct 2017","13524.27"
"NIFTY 50","03 Oct 2017","13448.66"
"NIFTY 50","29 Sep 2017","13351.99"
"NIFTY 50","28 Sep 2017","13325.16"
"NIFTY 50","27 Sep 2017","13279.85"
"NIFTY 50","26 Sep 2017","13465.07"
"NIFTY 50","25 Sep 2017","13466.53"
"NIFTY 50","22 Sep 2017","13591.79"
"NIFTY 50","21 Sep 2017","13806.60"
"NIFTY 50","20 Sep 2017","13832.04"
"NIFTY 50","19 Sep 2017","13840.78"
"NIFTY 50","18 Sep 2017","13848.34"
"NIFTY 50","15 Sep 2017","13754.62"
"NIFTY 50","14 Sep 2017","13756.28"
"NIFTY 50","13 Sep 2017","13746.30"
"NIFTY 50","12 Sep 2017","13765.03"
"NIFTY 50","11 Sep 2017","13646.37"
"NIFTY 50","08 Sep 2017","13546.57"
"NIFTY 50","07 Sep 2017","13539.91"
"NIFTY 50","06 Sep 2017","13519.30"
"NIFTY 50","05 Sep 2017","13568.38"
"NIFTY 50","04 Sep 2017","13514.16"
"NIFTY 50","01 Sep 2017","13598.09"
"NIFTY 50","31 Aug 2017","13521.03"
"NIFTY 50","30 Aug 2017","13474.73"
"NIFTY 50","29 Aug 2017","13354.29"
"NIFTY 50","28 Aug 2017","13513.48"
"NIFTY 50","24 Aug 2017","13437.45"
"NIFTY 50","23 Aug 2017","13427.67"
"NIFTY 50","22 Aug 2017","13309.14"
"NIFTY 50","21 Aug 2017","13293.88"
"NIFTY 50","18 Aug 2017","13407.07"
"NIFTY 50","17 Aug 2017","13497.69"
"NIFTY 50","16 Aug 2017","13488.33"
"NIFTY 50","14 Aug 2017","13347.75"
"NIFTY 50","11 Aug 2017","13234.20"
"NIFTY 50","10 Aug 2017","13377.05"
"NIFTY 50","09 Aug 2017","13495.81"
"NIFTY 50","08 Aug 2017","13591.81"
"NIFTY 50","07 Aug 2017","13699.21"
"NIFTY 50","04 Aug 2017","13711.47"
"NIFTY 50","03 Aug 2017","13639.66"
"NIFTY 50","02 Aug 2017","13731.63"
"NIFTY 50","01 Aug 2017","13775.33"
"NIFTY 50","31 Jul 2017","13724.19"
"NIFTY 50","28 Jul 2017","13638.10"
"NIFTY 50","27 Jul 2017","13646.34"
"NIFTY 50","26 Jul 2017","13644.46"
"NIFTY 50","25 Jul 2017","13567.66"
"NIFTY 50","24 Jul 2017","13569.88"
"NIFTY 50","21 Jul 2017","13498.25"
"NIFTY 50","20 Jul 2017","13441.11"
"NIFTY 50","19 Jul 2017","13473.52"
"NIFTY 50","18 Jul 2017","13374.92"
"NIFTY 50","17 Jul 2017","13494.64"
"NIFTY 50","14 Jul 2017","13453.49"
"NIFTY 50","13 Jul 2017","13452.22"
"NIFTY 50","12 Jul 2017","13340.24"
"NIFTY 50","11 Jul 2017","13299.17"
"NIFTY 50","10 Jul 2017","13278.81"
"NIFTY 50","07 Jul 2017","13135.35"
"NIFTY 50","06 Jul 2017","13147.27"
"NIFTY 50","05 Jul 2017","13091.36"
"NIFTY 50","04 Jul 2017","13057.86"
"NIFTY 50","03 Jul 2017","13060.15"
"NIFTY 50","30 Jun 2017","12932.33"
"NIFTY 50","29 Jun 2017","12908.13"
"NIFTY 50","28 Jun 2017","12882.70"
"NIFTY 50","27 Jun 2017","12910.01"
"NIFTY 50","23 Jun 2017","12996.30"
"NIFTY 50","22 Jun 2017","13070.98"
"NIFTY 50","21 Jun 2017","13072.91"
"NIFTY 50","20 Jun 2017","13099.92"
"NIFTY 50","19 Jun 2017","13100.15"
"NIFTY 50","16 Jun 2017","13005.86"
"NIFTY 50","15 Jun 2017","12992.34"
"NIFTY 50","14 Jun 2017","13045.44"
"NIFTY 50","13 Jun 2017","13030.22"
"NIFTY 50","12 Jun 2017","13037.83"
"NIFTY 50","09 Jun 2017","13108.12"
"NIFTY 50","08 Jun 2017","13079.63"
"NIFTY 50","07 Jun 2017","13101.62"
"NIFTY 50","06 Jun 2017","13065.33"
"NIFTY 50","05 Jun 2017","13116.78"
"NIFTY 50","02 Jun 2017","13072.98"
"NIFTY 50","01 Jun 2017","13022.35"
"NIFTY 50","31 May 2017","13018.69"
"NIFTY 50","30 May 2017","13023.19"
"NIFTY 50","29 May 2017","12996.61"
"NIFTY 50","26 May 2017","12981.79"
"NIFTY 50","25 May 2017","12863.38"
"NIFTY 50","24 May 2017","12661.62"
"NIFTY 50","23 May 2017","12695.02"
"NIFTY 50","22 May 2017","12765.48"
"NIFTY 50","19 May 2017","12751.43"
"NIFTY 50","18 May 2017","12753.55"
"NIFTY 50","17 May 2017","12883.83"
"NIFTY 50","16 May 2017","12865.56"
"NIFTY 50","15 May 2017","12775.11"
"NIFTY 50","12 May 2017","12714.97"
"NIFTY 50","11 May 2017","12743.99"
"NIFTY 50","10 May 2017","12723.60"
"NIFTY 50","09 May 2017","12601.23"
"NIFTY 50","08 May 2017","12597.50"
"NIFTY 50","05 May 2017","12558.60"
"NIFTY 50","04 May 2017","12659.51"
"NIFTY 50","03 May 2017","12593.58"
"NIFTY 50","02 May 2017","12596.08"
"NIFTY 50","28 Apr 2017","12582.88"
"NIFTY 50","27 Apr 2017","12634.41"
"NIFTY 50","26 Apr 2017","12647.53"
"NIFTY 50","25 Apr 2017","12586.34"
"NIFTY 50","24 Apr 2017","12466.46"
"NIFTY 50","21 Apr 2017","12333.17"
"NIFTY 50","20 Apr 2017","12356.20"
"NIFTY 50","19 Apr 2017","12311.67"
"NIFTY 50","18 Apr 2017","12313.90"
"NIFTY 50","17 Apr 2017","12360.11"
"NIFTY 50","13 Apr 2017","12375.68"
"NIFTY 50","12 Apr 2017","12446.84"
"NIFTY 50","11 Apr 2017","12492.24"
"NIFTY 50","10 Apr 2017","12417.07"
"NIFTY 50","07 Apr 2017","12439.90"
"NIFTY 50","06 Apr 2017","12525.97"
"NIFTY 50","05 Apr 2017","12530.31"
"NIFTY 50","03 Apr 2017","12493.39"
"NIFTY 50","31 Mar 2017","12406.69"
"NIFTY 50","30 Mar 2017","12404.41"
"NIFTY 50","29 Mar 2017","12363.95"
"NIFTY 50","28 Mar 2017","12305.77"
"NIFTY 50","27 Mar 2017","12230.63"
"NIFTY 50","24 Mar 2017","12314.98"
"NIFTY 50","23 Mar 2017","12283.35"
"NIFTY 50","22 Mar 2017","12207.85"
"NIFTY 50","21 Mar 2017","12330.92"
"NIFTY 50","20 Mar 2017","12338.14"
"NIFTY 50","17 Mar 2017","12383.04"
"NIFTY 50","16 Mar 2017","12374.48"
"NIFTY 50","15 Mar 2017","12278.23"
"NIFTY 50","14 Mar 2017","12281.22"
"NIFTY 50","10 Mar 2017","12066.40"
"NIFTY 50","09 Mar 2017","12056.17"
"NIFTY 50","08 Mar 2017","12050.77"
"NIFTY 50","07 Mar 2017","12081.34"
"NIFTY 50","06 Mar 2017","12103.68"
"NIFTY 50","03 Mar 2017","12014.70"
"NIFTY 50","02 Mar 2017","12017.63"
"NIFTY 50","01 Mar 2017","12079.80"
"NIFTY 50","28 Feb 2017","11990.44"
"NIFTY 50","27 Feb 2017","12009.80"
"NIFTY 50","23 Feb 2017","12067.61"
"NIFTY 50","22 Feb 2017","12050.54"
"NIFTY 50","21 Feb 2017","12024.88"
"NIFTY 50","20 Feb 2017","11986.21"
"NIFTY 50","17 Feb 2017","11908.56"
"NIFTY 50","16 Feb 2017","11849.55"
"NIFTY 50","15 Feb 2017","11776.57"
"NIFTY 50","14 Feb 2017","11865.43"
"NIFTY 50","13 Feb 2017","11882.38"
"NIFTY 50","10 Feb 2017","11866.82"
"NIFTY 50","09 Feb 2017","11846.42"
"NIFTY 50","08 Feb 2017","11833.80"
"NIFTY 50","07 Feb 2017","11832.78"
"NIFTY 50","06 Feb 2017","11874.73"
"NIFTY 50","03 Feb 2017","11793.62"
"NIFTY 50","02 Feb 2017","11784.61"
"NIFTY 50","01 Feb 2017","11758.63"
"NIFTY 50","31 Jan 2017","11548.15"
"NIFTY 50","30 Jan 2017","11644.53"
"NIFTY 50","27 Jan 2017","11656.00"
"NIFTY 50","25 Jan 2017","11604.09"
"NIFTY 50","24 Jan 2017","11432.83"
"NIFTY 50","23 Jan 2017","11319.09"
"NIFTY 50","20 Jan 2017","11260.99"
"NIFTY 50","19 Jan 2017","11376.62"
"NIFTY 50","18 Jan 2017","11352.22"
"NIFTY 50","17 Jan 2017","11326.62"
"NIFTY 50","16 Jan 2017","11346.57"
"NIFTY 50","13 Jan 2017","11329.78"
"NIFTY 50","12 Jan 2017","11339.04"
"NIFTY 50","11 Jan 2017","11303.19"
"NIFTY 50","10 Jan 2017","11179.04"
"NIFTY 50","09 Jan 2017","11108.20"
"NIFTY 50","06 Jan 2017","11118.62"
"NIFTY 50","05 Jan 2017","11159.12"
"NIFTY 50","04 Jan 2017","11046.76"
"NIFTY 50","03 Jan 2017","11049.08"
"NIFTY 50","02 Jan 2017","11031.91"
