"IndexName","Date","Total Returns Index"
"NIFTY 50","31 Dec 2015","10575.63"
"NIFTY 50","30 Dec 2015","10508.91"
"NIFTY 50","29 Dec 2015","10552.46"
"NIFTY 50","28 Dec 2015","10547.37"
"NIFTY 50","24 Dec 2015","10462.08"
"NIFTY 50","23 Dec 2015","10468.61"
"NIFTY 50","22 Dec 2015","10362.35"
"NIFTY 50","21 Dec 2015","10426.69"
"NIFTY 50","18 Dec 2015","10330.16"
"NIFTY 50","17 Dec 2015","10439.83"
"NIFTY 50","16 Dec 2015","10315.45"
"NIFTY 50","15 Dec 2015","10248.91"
"NIFTY 50","14 Dec 2015","10181.25"
"NIFTY 50","11 Dec 2015","10128.57"
"NIFTY 50","10 Dec 2015","10225.54"
"NIFTY 50","09 Dec 2015","10131.26"
"NIFTY 50","08 Dec 2015","10250.03"
"NIFTY 50","07 Dec 2015","10334.77"
"NIFTY 50","04 Dec 2015","10356.71"
"NIFTY 50","03 Dec 2015","10466.19"
"NIFTY 50","02 Dec 2015","10555.62"
"NIFTY 50","01 Dec 2015","10586.99"
"NIFTY 50","30 Nov 2015","10560.84"
"NIFTY 50","27 Nov 2015","10570.76"
"NIFTY 50","26 Nov 2015","10492.35"
"NIFTY 50","24 Nov 2015","10422.86"
"NIFTY 50","23 Nov 2015","10446.40"
"NIFTY 50","20 Nov 2015","10456.11"
"NIFTY 50","19 Nov 2015","10437.71"
"NIFTY 50","18 Nov 2015","10290.03"
"NIFTY 50","17 Nov 2015","10430.78"
"NIFTY 50","16 Nov 2015","10389.64"
"NIFTY 50","13 Nov 2015","10330.60"
"NIFTY 50","11 Nov 2015","10414.07"
"NIFTY 50","10 Nov 2015","10358.65"
"NIFTY 50","09 Nov 2015","10531.91"
"NIFTY 50","06 Nov 2015","10583.88"
"NIFTY 50","05 Nov 2015","10585.41"
"NIFTY 50","04 Nov 2015","10698.19"
"NIFTY 50","03 Nov 2015","10725.48"
"NIFTY 50","02 Nov 2015","10712.32"
"NIFTY 50","30 Oct 2015","10732.25"
"NIFTY 50","29 Oct 2015","10792.35"
"NIFTY 50","28 Oct 2015","10871.42"
"NIFTY 50","27 Oct 2015","10953.26"
"NIFTY 50","26 Oct 2015","10990.02"
"NIFTY 50","23 Oct 2015","11036.44"
"NIFTY 50","21 Oct 2015","10976.65"
"NIFTY 50","20 Oct 2015","10989.00"
"NIFTY 50","19 Oct 2015","11006.79"
"NIFTY 50","16 Oct 2015","10956.47"
"NIFTY 50","15 Oct 2015","10872.82"
"NIFTY 50","14 Oct 2015","10777.67"
"NIFTY 50","13 Oct 2015","10809.32"
"NIFTY 50","12 Oct 2015","10825.14"
"NIFTY 50","09 Oct 2015","10886.38"
"NIFTY 50","08 Oct 2015","10806.18"
"NIFTY 50","07 Oct 2015","10870.04"
"NIFTY 50","06 Oct 2015","10837.50"
"NIFTY 50","05 Oct 2015","10792.79"
"NIFTY 50","01 Oct 2015","10568.94"
"NIFTY 50","30 Sep 2015","10566.29"
"NIFTY 50","29 Sep 2015","10425.93"
"NIFTY 50","28 Sep 2015","10362.68"
"NIFTY 50","24 Sep 2015","10459.44"
"NIFTY 50","23 Sep 2015","10429.44"
"NIFTY 50","22 Sep 2015","10384.35"
"NIFTY 50","21 Sep 2015","10603.80"
"NIFTY 50","18 Sep 2015","10609.87"
"NIFTY 50","16 Sep 2015","10499.73"
"NIFTY 50","15 Sep 2015","10406.56"
"NIFTY 50","14 Sep 2015","10463.93"
"NIFTY 50","11 Sep 2015","10353.54"
"NIFTY 50","10 Sep 2015","10351.93"
"NIFTY 50","09 Sep 2015","10392.45"
"NIFTY 50","08 Sep 2015","10219.21"
"NIFTY 50","07 Sep 2015","10047.15"
"NIFTY 50","04 Sep 2015","10173.65"
"NIFTY 50","03 Sep 2015","10396.83"
"NIFTY 50","02 Sep 2015","10254.61"
"NIFTY 50","01 Sep 2015","10346.16"
"NIFTY 50","31 Aug 2015","10588.80"
"NIFTY 50","28 Aug 2015","10629.49"
"NIFTY 50","27 Aug 2015","10557.50"
"NIFTY 50","26 Aug 2015","10348.40"
"NIFTY 50","25 Aug 2015","10465.46"
"NIFTY 50","24 Aug 2015","10370.27"
"NIFTY 50","21 Aug 2015","11022.22"
"NIFTY 50","20 Aug 2015","11118.95"
"NIFTY 50","19 Aug 2015","11281.26"
"NIFTY 50","18 Aug 2015","11243.28"
"NIFTY 50","17 Aug 2015","11257.56"
"NIFTY 50","14 Aug 2015","11312.32"
"NIFTY 50","13 Aug 2015","11095.98"
"NIFTY 50","12 Aug 2015","11086.67"
"NIFTY 50","11 Aug 2015","11236.57"
"NIFTY 50","10 Aug 2015","11320.25"
"NIFTY 50","07 Aug 2015","11372.02"
"NIFTY 50","06 Aug 2015","11402.67"
"NIFTY 50","05 Aug 2015","11375.18"
"NIFTY 50","04 Aug 2015","11307.41"
"NIFTY 50","03 Aug 2015","11342.11"
"NIFTY 50","31 Jul 2015","11328.56"
"NIFTY 50","30 Jul 2015","11180.79"
"NIFTY 50","29 Jul 2015","11118.71"
"NIFTY 50","28 Jul 2015","11068.18"
"NIFTY 50","27 Jul 2015","11100.03"
"NIFTY 50","24 Jul 2015","11313.22"
"NIFTY 50","23 Jul 2015","11403.83"
"NIFTY 50","22 Jul 2015","11459.27"
"NIFTY 50","21 Jul 2015","11320.88"
"NIFTY 50","20 Jul 2015","11419.13"
"NIFTY 50","17 Jul 2015","11424.87"
"NIFTY 50","16 Jul 2015","11422.48"
"NIFTY 50","15 Jul 2015","11309.10"
"NIFTY 50","14 Jul 2015","11210.85"
"NIFTY 50","13 Jul 2015","11217.67"
"NIFTY 50","10 Jul 2015","11086.29"
"NIFTY 50","09 Jul 2015","11043.14"
"NIFTY 50","08 Jul 2015","11084.34"
"NIFTY 50","07 Jul 2015","11279.56"
"NIFTY 50","06 Jul 2015","11294.60"
"NIFTY 50","03 Jul 2015","11244.49"
"NIFTY 50","02 Jul 2015","11191.50"
"NIFTY 50","01 Jul 2015","11197.83"
"NIFTY 50","30 Jun 2015","11085.87"
"NIFTY 50","29 Jun 2015","11019.47"
"NIFTY 50","26 Jun 2015","11102.52"
"NIFTY 50","25 Jun 2015","11124.95"
"NIFTY 50","24 Jun 2015","11075.71"
"NIFTY 50","23 Jun 2015","11102.60"
"NIFTY 50","22 Jun 2015","11064.89"
"NIFTY 50","19 Jun 2015","10894.44"
"NIFTY 50","18 Jun 2015","10825.96"
"NIFTY 50","17 Jun 2015","10715.85"
"NIFTY 50","16 Jun 2015","10657.23"
"NIFTY 50","15 Jun 2015","10612.12"
"NIFTY 50","12 Jun 2015","10562.76"
"NIFTY 50","11 Jun 2015","10539.53"
"NIFTY 50","10 Jun 2015","10750.07"
"NIFTY 50","09 Jun 2015","10615.01"
"NIFTY 50","08 Jun 2015","10643.82"
"NIFTY 50","05 Jun 2015","10737.17"
"NIFTY 50","04 Jun 2015","10754.83"
"NIFTY 50","03 Jun 2015","10752.52"
"NIFTY 50","02 Jun 2015","10876.52"
"NIFTY 50","01 Jun 2015","11136.64"
"NIFTY 50","29 May 2015","11135.85"
"NIFTY 50","28 May 2015","10984.45"
"NIFTY 50","27 May 2015","11001.96"
"NIFTY 50","26 May 2015","11008.25"
"NIFTY 50","25 May 2015","11049.00"
"NIFTY 50","22 May 2015","11166.12"
"NIFTY 50","21 May 2015","11116.00"
"NIFTY 50","20 May 2015","11118.14"
"NIFTY 50","19 May 2015","11042.12"
"NIFTY 50","18 May 2015","11052.70"
"NIFTY 50","15 May 2015","10905.75"
"NIFTY 50","14 May 2015","10855.42"
"NIFTY 50","13 May 2015","10870.30"
"NIFTY 50","12 May 2015","10727.03"
"NIFTY 50","11 May 2015","10988.82"
"NIFTY 50","08 May 2015","10812.25"
"NIFTY 50","07 May 2015","10630.43"
"NIFTY 50","06 May 2015","10682.81"
"NIFTY 50","05 May 2015","10983.33"
"NIFTY 50","04 May 2015","10992.81"
"NIFTY 50","30 Apr 2015","10794.27"
"NIFTY 50","29 Apr 2015","10871.15"
"NIFTY 50","28 Apr 2015","10931.63"
"NIFTY 50","27 Apr 2015","10836.88"
"NIFTY 50","24 Apr 2015","10957.58"
"NIFTY 50","23 Apr 2015","11079.67"
"NIFTY 50","22 Apr 2015","11121.12"
"NIFTY 50","21 Apr 2015","11052.56"
"NIFTY 50","20 Apr 2015","11145.37"
"NIFTY 50","17 Apr 2015","11353.68"
"NIFTY 50","16 Apr 2015","11486.56"
"NIFTY 50","15 Apr 2015","11543.96"
"NIFTY 50","13 Apr 2015","11654.49"
"NIFTY 50","10 Apr 2015","11583.75"
"NIFTY 50","09 Apr 2015","11581.01"
"NIFTY 50","08 Apr 2015","11496.74"
"NIFTY 50","07 Apr 2015","11425.33"
"NIFTY 50","06 Apr 2015","11424.83"
"NIFTY 50","01 Apr 2015","11327.63"
"NIFTY 50","31 Mar 2015","11201.99"
"NIFTY 50","30 Mar 2015","11203.71"
"NIFTY 50","27 Mar 2015","11004.63"
"NIFTY 50","26 Mar 2015","11005.59"
"NIFTY 50","25 Mar 2015","11254.51"
"NIFTY 50","24 Mar 2015","11269.62"
"NIFTY 50","23 Mar 2015","11277.98"
"NIFTY 50","20 Mar 2015","11304.37"
"NIFTY 50","19 Mar 2015","11380.91"
"NIFTY 50","18 Mar 2015","11448.46"
"NIFTY 50","17 Mar 2015","11497.78"
"NIFTY 50","16 Mar 2015","11378.97"
"NIFTY 50","13 Mar 2015","11398.21"
"NIFTY 50","12 Mar 2015","11567.25"
"NIFTY 50","11 Mar 2015","11466.50"
"NIFTY 50","10 Mar 2015","11482.40"
"NIFTY 50","09 Mar 2015","11541.34"
"NIFTY 50","05 Mar 2015","11779.43"
"NIFTY 50","04 Mar 2015","11759.58"
"NIFTY 50","03 Mar 2015","11856.58"
"NIFTY 50","02 Mar 2015","11796.73"
