"IndexName","Date","Total Returns Index"
"NIFTY 50","31 Jan 2024","31939.59"
"NIFTY 50","30 Jan 2024","31640.24"
"NIFTY 50","29 Jan 2024","31957.05"
"NIFTY 50","25 Jan 2024","31391.07"
"NIFTY 50","24 Jan 2024","31540.07"
"NIFTY 50","23 Jan 2024","31223.30"
"NIFTY 50","20 Jan 2024","31712.86"
"NIFTY 50","19 Jan 2024","31787.24"
"NIFTY 50","18 Jan 2024","31538.40"
"NIFTY 50","17 Jan 2024","31699.64"
"NIFTY 50","16 Jan 2024","32376.10"
"NIFTY 50","15 Jan 2024","32471.80"
"NIFTY 50","12 Jan 2024","32173.66"
"NIFTY 50","11 Jan 2024","31810.18"
"NIFTY 50","10 Jan 2024","31768.30"
"NIFTY 50","09 Jan 2024","31659.81"
"NIFTY 50","08 Jan 2024","31613.01"
"NIFTY 50","05 Jan 2024","31903.69"
"NIFTY 50","04 Jan 2024","31826.97"
"NIFTY 50","03 Jan 2024","31619.36"
"NIFTY 50","02 Jan 2024","31837.56"
"NIFTY 50","01 Jan 2024","31949.36"
