"IndexName","Date","Total Returns Index"
"NIFTY 50","31 Dec 2021","24908.71"
"NIFTY 50","30 Dec 2021","24693.25"
"NIFTY 50","29 Dec 2021","24707.10"
"NIFTY 50","28 Dec 2021","24735.32"
"NIFTY 50","27 Dec 2021","24524.36"
"NIFTY 50","24 Dec 2021","24405.96"
"NIFTY 50","23 Dec 2021","24504.75"
"NIFTY 50","22 Dec 2021","24336.62"
"NIFTY 50","21 Dec 2021","24063.78"
"NIFTY 50","20 Dec 2021","23839.01"
"NIFTY 50","17 Dec 2021","24371.37"
"NIFTY 50","16 Dec 2021","24749.01"
"NIFTY 50","15 Dec 2021","24710.30"
"NIFTY 50","14 Dec 2021","24858.79"
"NIFTY 50","13 Dec 2021","24921.02"
"NIFTY 50","10 Dec 2021","25126.24"
"NIFTY 50","09 Dec 2021","25134.23"
"NIFTY 50","08 Dec 2021","25066.62"
"NIFTY 50","07 Dec 2021","24646.18"
"NIFTY 50","06 Dec 2021","24266.71"
"NIFTY 50","03 Dec 2021","24674.83"
"NIFTY 50","02 Dec 2021","24968.91"
"NIFTY 50","01 Dec 2021","24632.06"
"NIFTY 50","30 Nov 2021","24368.53"
"NIFTY 50","29 Nov 2021","24469.99"
"NIFTY 50","26 Nov 2021","24430.53"
"NIFTY 50","25 Nov 2021","25162.07"
"NIFTY 50","24 Nov 2021","24988.18"
"NIFTY 50","23 Nov 2021","25114.82"
"NIFTY 50","22 Nov 2021","24990.27"
"NIFTY 50","18 Nov 2021","25483.23"
"NIFTY 50","17 Nov 2021","25675.20"
"NIFTY 50","16 Nov 2021","25819.49"
"NIFTY 50","15 Nov 2021","25977.61"
"NIFTY 50","12 Nov 2021","25968.02"
"NIFTY 50","11 Nov 2021","25639.32"
"NIFTY 50","10 Nov 2021","25839.47"
"NIFTY 50","09 Nov 2021","25878.28"
"NIFTY 50","08 Nov 2021","25913.09"
"NIFTY 50","04 Nov 2021","25695.50"
"NIFTY 50","03 Nov 2021","25569.86"
"NIFTY 50","02 Nov 2021","25655.51"
"NIFTY 50","01 Nov 2021","25710.80"
"NIFTY 50","29 Oct 2021","25340.83"
"NIFTY 50","28 Oct 2021","25606.99"
"NIFTY 50","27 Oct 2021","26113.62"
"NIFTY 50","26 Oct 2021","26196.05"
"NIFTY 50","25 Oct 2021","25967.04"
"NIFTY 50","22 Oct 2021","25952.01"
"NIFTY 50","21 Oct 2021","26042.59"
"NIFTY 50","20 Oct 2021","26165.78"
"NIFTY 50","19 Oct 2021","26383.71"
"NIFTY 50","18 Oct 2021","26467.21"
"NIFTY 50","14 Oct 2021","26268.83"
"NIFTY 50","13 Oct 2021","26013.19"
"NIFTY 50","12 Oct 2021","25770.01"
"NIFTY 50","11 Oct 2021","25704.10"
"NIFTY 50","08 Oct 2021","25631.38"
"NIFTY 50","07 Oct 2021","25481.26"
"NIFTY 50","06 Oct 2021","25274.48"
"NIFTY 50","05 Oct 2021","25526.98"
"NIFTY 50","04 Oct 2021","25339.32"
"NIFTY 50","01 Oct 2021","25111.25"
"NIFTY 50","30 Sep 2021","25234.57"
"NIFTY 50","29 Sep 2021","25367.99"
"NIFTY 50","28 Sep 2021","25421.46"
"NIFTY 50","27 Sep 2021","25573.99"
"NIFTY 50","24 Sep 2021","25571.24"
"NIFTY 50","23 Sep 2021","25527.92"
"NIFTY 50","22 Sep 2021","25132.15"
"NIFTY 50","21 Sep 2021","25154.16"
"NIFTY 50","20 Sep 2021","24917.72"
"NIFTY 50","17 Sep 2021","25187.34"
"NIFTY 50","16 Sep 2021","25250.87"
"NIFTY 50","15 Sep 2021","25093.22"
"NIFTY 50","14 Sep 2021","24893.51"
"NIFTY 50","13 Sep 2021","24858.12"
"NIFTY 50","09 Sep 2021","24878.09"
"NIFTY 50","08 Sep 2021","24855.50"
"NIFTY 50","07 Sep 2021","24857.27"
"NIFTY 50","06 Sep 2021","24879.79"
"NIFTY 50","03 Sep 2021","24802.17"
"NIFTY 50","02 Sep 2021","24674.11"
"NIFTY 50","01 Sep 2021","24445.62"
"NIFTY 50","31 Aug 2021","24525.71"
"NIFTY 50","30 Aug 2021","24237.80"
"NIFTY 50","27 Aug 2021","23914.48"
"NIFTY 50","26 Aug 2021","23816.68"
"NIFTY 50","25 Aug 2021","23813.43"
"NIFTY 50","24 Aug 2021","23799.10"
"NIFTY 50","23 Aug 2021","23615.61"
"NIFTY 50","20 Aug 2021","23549.09"
"NIFTY 50","18 Aug 2021","23718.57"
"NIFTY 50","17 Aug 2021","23784.05"
"NIFTY 50","16 Aug 2021","23708.38"
"NIFTY 50","13 Aug 2021","23659.78"
"NIFTY 50","12 Aug 2021","23424.04"
"NIFTY 50","11 Aug 2021","23303.89"
"NIFTY 50","10 Aug 2021","23300.36"
"NIFTY 50","09 Aug 2021","23269.12"
"NIFTY 50","06 Aug 2021","23238.83"
"NIFTY 50","05 Aug 2021","23319.53"
"NIFTY 50","04 Aug 2021","23265.07"
"NIFTY 50","03 Aug 2021","23081.86"
"NIFTY 50","02 Aug 2021","22730.42"
